Country,Time,Min_Wage
POL,2007,7562.37082983981
POL,2008,8733.71086616761
POL,2009,9535.27052590032
POL,2010,9594.06127505659
POL,2011,9686.07960643226
POL,2012,10122.375946776
POL,2013,10691.146694269699
POL,2014,11219.6654576927
POL,2015,11790.2128192979
POL,2016,12547.3499495402
POL,2017,13288.834999968602
POL,2018,13704.8150902496
POL,2019,14363.780291616698
PRT,2001,9858.742080524029
PRT,2002,9909.572755908841
PRT,2003,9837.46590238704
PRT,2004,9839.29965265038
PRT,2005,9873.18717197749
PRT,2006,9856.645680924441
PRT,2007,10052.222131775401
PRT,2008,10357.736139136501
PRT,2009,11033.458427078798
PRT,2010,11485.4071848889
PRT,2011,11313.7722612831
PRT,2012,11008.4701168124
PRT,2013,10978.3437119429
PRT,2014,11008.965520260801
PRT,2015,11407.4146808024
PRT,2016,11899.7273103292
PRT,2017,12337.095866113501
PRT,2018,12720.2531438299
PRT,2019,13114.467443334599
SVK,2001,5014.49795303911
SVK,2002,5455.48917945766
SVK,2003,5633.7068143016295
SVK,2004,5686.502716430329
SVK,2005,5908.00184810336
SVK,2006,6061.44432590147
SVK,2007,6440.7718516103105
SVK,2008,6456.547039962111
SVK,2009,6983.224253756421
SVK,2010,7202.60312512869
SVK,2011,7140.442018495359
SVK,2012,7113.6712786526205
SVK,2013,7240.55029278907
SVK,2014,7552.90609546746
SVK,2015,8180.309428085491
SVK,2016,8764.06169435197
SVK,2017,9291.35391440545
SVK,2018,10001.0971613476
SVK,2019,10553.322182440601
SVN,2001,10532.731301522901
SVN,2002,10926.57721464
SVN,2003,11285.620053556699
SVN,2004,11655.830534326298
SVN,2005,11939.2639835716
SVN,2006,12042.16697051
SVN,2007,11908.356588011999
SVN,2008,12178.050276105701
SVN,2009,12527.3388566229
SVN,2010,14771.3022167387
SVN,2011,15211.6100869647
SVN,2012,15169.545314995601
SVN,2013,15308.839357120802
SVN,2014,15376.4974112333
SVN,2015,15497.6692496797
SVN,2016,15506.1975872832
SVN,2017,15562.8378953464
SVN,2018,16015.779236995
SVN,2019,16578.5660193902
ESP,2001,12156.6467706118
ESP,2002,12033.1830495673
ESP,2003,11915.9385764689
ESP,2004,11802.8344146831
ESP,2005,12444.740773688998
ESP,2006,12956.293601860902
ESP,2007,13297.1095700918
ESP,2008,13434.6870276649
ESP,2009,14012.4298632846
ESP,2010,13969.8286248906
ESP,2011,13710.3034138024
ESP,2012,13382.956278419299
ESP,2013,13277.3135539801
ESP,2014,13297.375345851498
ESP,2015,13432.601776784099
ESP,2016,13594.3554505089
ESP,2017,14404.571142506598
ESP,2018,14731.7883338126
ESP,2019,17891.7040712147
TUR,2001,6167.547643673261
TUR,2002,6609.473382227379
TUR,2003,7034.43074369717
TUR,2004,9178.01769978337
TUR,2005,9562.76296249814
TUR,2006,9480.60269804986
TUR,2007,9419.11666412459
TUR,2008,9268.64244926958
TUR,2009,9506.078051136841
TUR,2010,9596.80814539601
TUR,2011,9884.859999232509
TUR,2012,10153.0300572247
TUR,2013,10340.1844495716
TUR,2014,10472.2136124419
TUR,2015,11234.6794937567
TUR,2016,13481.4549563963
TUR,2017,13090.7803823753
TUR,2018,12848.2523160594
TUR,2019,14060.166114798101
GBR,2001,14727.454937620701
GBR,2002,15754.731525687701
GBR,2003,16114.754310818898
GBR,2004,17048.2346254383
GBR,2005,17842.615265470802
GBR,2006,18203.3952186274
GBR,2007,18715.9810883276
GBR,2008,18691.030168833302
GBR,2009,18905.1576741323
GBR,2010,18716.610781121202
GBR,2011,18432.5540745852
GBR,2012,18394.5365605415
GBR,2013,18313.6646555084
GBR,2014,18455.384622363603
GBR,2015,18937.569226762098
GBR,2016,20610.7623660625
GBR,2017,20721.425846430502
GBR,2018,21132.1674354684
GBR,2019,21764.4426850764
USA,2001,15466.503655873501
USA,2002,15225.0298670373
USA,2003,14887.079034201599
USA,2004,14498.908924380201
USA,2005,14023.1393078729
USA,2006,13584.8980893721
USA,2007,13994.780835566298
USA,2008,15206.274324884
USA,2009,16995.6048443858
USA,2010,17680.4246778152
USA,2011,17139.3621682899
USA,2012,16791.8815067327
USA,2013,16549.459617919598
USA,2014,16285.2761266586
USA,2015,16265.9802602064
USA,2016,16063.328011733101
USA,2017,15728.297963409099
USA,2018,15353.2812793493
USA,2019,15080.0
