Country,ISC11_LEVEL_CAT,Time,STR
NOR,L0,2014,11.127
NOR,L0,2015,12.617
NOR,L0,2016,11.952
NOR,L0,2017,11.32
NOR,L0,2018,11.008
NOR,L1,2013,10.341
NOR,L1,2014,10.29
NOR,L1,2015,10.28
NOR,L1,2016,10.148
NOR,L1,2017,10.163
NOR,L1,2018,10.095
NOR,L2,2013,9.842
NOR,L2,2014,9.722000000000001
NOR,L2,2015,9.548
NOR,L2,2016,9.127
NOR,L2,2017,9.419
NOR,L2,2018,8.902999999999999
NOR,L3,2013,10.338
NOR,L3,2014,10.332
NOR,L3,2015,10.28
NOR,L3,2016,10.195
NOR,L3,2017,10.103
NOR,L3,2018,10.228
NOR,L5T8,2013,10.067
NOR,L5T8,2014,10.176
NOR,L5T8,2015,10.466
NOR,L5T8,2016,9.555
NOR,L5T8,2017,8.974
NOR,L5T8,2018,9.354
POL,L0,2005,
POL,L0,2010,
POL,L0,2011,
POL,L0,2012,
POL,L0,2013,16.44
POL,L0,2014,16.364
POL,L0,2015,15.104000000000001
POL,L0,2016,14.084000000000001
POL,L0,2017,14.524000000000001
POL,L0,2018,14.880999999999998
POL,L1,2013,11.093
POL,L1,2014,10.989
POL,L1,2015,11.091
POL,L1,2016,11.357000000000001
POL,L1,2017,10.741
POL,L1,2018,9.602
POL,L2,2013,9.892000000000001
POL,L2,2014,10.395
POL,L2,2015,9.669
POL,L2,2016,9.596
POL,L2,2017,9.517999999999999
POL,L2,2018,11.429
POL,L3,2013,11.017999999999999
POL,L3,2014,10.87
POL,L3,2015,10.27
POL,L3,2016,10.157
POL,L3,2017,10.006
POL,L3,2018,9.579
POL,L5T8,2013,15.134
POL,L5T8,2014,15.241
POL,L5T8,2015,14.897
POL,L5T8,2016,14.587
POL,L5T8,2017,14.28
POL,L5T8,2018,13.847999999999999
PRT,L0,2005,
PRT,L0,2010,
PRT,L0,2011,
PRT,L0,2012,
PRT,L0,2013,16.587
PRT,L0,2014,
PRT,L0,2015,
PRT,L0,2016,
PRT,L0,2017,
PRT,L0,2018,
PRT,L1,2013,13.205
PRT,L1,2014,13.959000000000001
PRT,L1,2015,13.704
PRT,L1,2016,13.120999999999999
PRT,L1,2017,12.675
PRT,L1,2018,12.421
PRT,L2,2013,10.427999999999999
PRT,L2,2014,10.081
PRT,L2,2015,9.994
PRT,L2,2016,9.821
PRT,L2,2017,9.81
PRT,L2,2018,9.402000000000001
PRT,L3,2013,8.397
